MAKE, MODEL, VARIANT,Modell_ID
Seat, Leon, ST Cupra 300 (4x4) Estate / Station Wagon / Combi (Non-OPF/GPF),125720
Seat, Leon, ST Cupra 300 (4x4) Estate / Station Wagon / Combi (OPF/GPF Equipped Only),125720
Skoda, Fabia, vRS 1.4 TSI 180bhp Hatch,"33682, 33681"
Skoda, Fabia, vRS TDI,
Skoda, Octavia, 1.9 TDi Mk1,"23268, 9518, 9519, 17476, 23291, 7909, 9063, 17475"
Skoda, Octavia, RS 1.8T 180 and 1.8T 150,"10270, 11346"
Skoda, Octavia, vRS 2.0 TDI 184PS Hatch & Estate (manual and DSG-auto),
Skoda, Octavia, vRS 2.0 TSI,"132923, 132922"
Skoda, Octavia, vRS 2.0 TSI 220PS & 230PS Hatch & Estate (manual and DSG-auto),"59680, 115161, 115160, 59677"
Skoda, Octavia, vRS 2.0 TSI 245PS (MQB EVO Mk4) Hatch & Estate (OPF/GPF Models Only),"142238, 142233, 126003, 126002"
Skoda, Octavia, vRS 2.0 TSI 245PS Hatch & Estate (manual and DSG-auto Non-OPF/GPF & Post Facelift),
Skoda, Octavia, vRS 2.0 TSI 245PS Hatch & Estate (manual and DSG-auto OPF/GPF Only & Post Facelift),
Skoda, Octavia, vRS 2.0T FSi,"18479, 18478"
Subaru, BRZ, 2.0-litre,55122
Subaru, Impreza, 2.0 Turbo WRX and STi,"17195, 15436, 16136, 17196"
Subaru, Impreza, STi 2.5i Turbo Saloon / Sedan,
Subaru, Impreza, WRX STi Saloon / Sedan,19152
Suzuki, Swift, Sport 1.4 BoosterJet,129654
Tesla, Model 3, RWD & Dual Motor AWD (Inc Performance),143474
Tesla, Model S, All Variants,"109006, 119785, 129905, 113073, 113081, 117529, 58649, 106770"
Tesla, Model X, All Variants,"117532, 122855, 117531"
Toyota, GT86, 2.0 litre,15977
Toyota, Supra, A90 Coupe 3.0 Turbo (UK/European with OPF/GPF),"3587, 3586"
Toyota, Supra, A90 Coupe 3.0 Turbo (USA/ROW without OPF/GPF),"3587, 3586"
Toyota, Yaris, GR & GR Circuit Pack 1.6T (OPF/GPF Models Only),141131
Volkswagen, Amarok, 2.0 BiTDI 163 & 180PS,"22936, 56028, 33470, 33472"
Volkswagen, Amarok, 3.0 V6 TDI (204 & 224PS),"120195, 122843"
Volkswagen, Arteon, 2.0TSI 280PS 4Motion (Non OPF/GPF Vehicles Only),"142921, 141428, 134219, 126829"
Volkswagen, Arteon, 2.0TSI 280PS 4Motion (OPF/GPF Vehicles Only),"142921, 141428, 134219, 126829"
Volkswagen, Beetle, 2.0 TSI (A5 Chassis),"59145, 109457, 56791, 59066, 109454, 11294"
Volkswagen, Bora, 1.8T 2WD,"17046, 15632, 16700, 15631"
Volkswagen, Bora, 1.9 TDI 130 / 150,"16349, 16069, 15466, 16067"
Volkswagen, Caddy, 2.0TDI 140PS 2WD Manual and DSG (not Maxi models),
Volkswagen, Caddy, 2.0TDI 2WD Manual and DSG (Maxi Models),"11160, 24467, 11158, 24466"
Volkswagen, Corrado, G60 1.8,1753
Volkswagen, Corrado, VR6,1755
Volkswagen, Golf, Mk1 GTi,
Volkswagen, Golf, Mk2 GTi 16v,
Volkswagen, Golf, Mk2 GTI 8v,
Volkswagen, Golf, Mk4 1.9 TDI PD and non-PD,
Volkswagen, Golf, Mk4 337 Anniversary 180bhp,
Volkswagen, Golf, Mk4 4-Motion V6,
Volkswagen, Golf, Mk4 GTI 1.8T,
Volkswagen, Golf, Mk4 R32 3.2 V6 4WD,
Volkswagen, Golf, Mk5 2.0 TDI 140PS,
Volkswagen, Golf, Mk5 GT 2.0 TDI 170PS DPF,
Volkswagen, Golf, Mk5 GTi 2.0T FSI,
Volkswagen, Golf, Mk5 GTi Edition 30 2.0T FSi 230PS,
Volkswagen, Golf, MK5 R32 3.2 V6,
Volkswagen, Golf, Mk6 GT 1.4 TSI 160PS,
Volkswagen, Golf, Mk6 GT 2.0 TDI 140PS,
Volkswagen, Golf, Mk6 GTD 2.0 TDI 170PS,
Volkswagen, Golf, Mk6 GTi 2.0 TSI 210PS,
Volkswagen, Golf, Mk6 GTi Edition 35,
Volkswagen, Golf, Mk6 R 2.0 TFSI 270PS,
Volkswagen, Golf, Mk7 2.0TFSI Alltrack / Estate / Station Wagon / Combi 4-Motion,
Volkswagen, Golf, MK7 GTD 2.0 TDI 185PS,
Volkswagen, Golf, MK7 GTi (including GTi Performance Pack Clubsport & Clubsport S models),
Volkswagen, Golf, MK7 R 2.0 TSI 300PS,
Volkswagen, Golf, MK7 R Estate / Variant 2.0 TSI 300PS,
Volkswagen, Golf, Mk7.5 1.5TSI Evo GT & R-Line (Both GPF/OPF & Non GPF/OPF Models),
Volkswagen, Golf, MK7.5 GTi (Non Performance Pack Models & Non-GPF Equipped Models Only),
Volkswagen, Golf, MK7.5 GTi (Performance Pack Models & Non OPF/GPF Equipped Models Only),
Volkswagen, Golf, MK7.5 GTi (TCR & Performance Pack Models - GPF/OPF Equipped Models Only),
Volkswagen, Golf, Mk7.5 R 2.0 TSI 300PS (GPF Equipped Models Only),
Volkswagen, Golf, Mk7.5 R 2.0 TSI 310PS (Non-GPF Equipped Models Only),
Volkswagen, Golf, Mk7.5 R Estate / Variant 2.0 TSI 300PS (GPF Equipped Models Only),
Volkswagen, Golf, Mk7.5 R Estate / Variant 2.0 TSI 310PS (Non-GPF Equipped Models Only),
Volkswagen, Golf, Mk8 GTi (245ps OPF/GPF Equipped Models Only),
Volkswagen, Golf, Mk8 GTi Clubsport (300ps OPF/GPF Equipped Models Only),
Volkswagen, Golf, Mk8 R 2.0 TSI 320PS (GPF Equipped Models Only),
Volkswagen, Jetta, Mk5 GLI 2.0T FSI,
Volkswagen, Jetta, Mk6 GLI 2.0 TSI,
Volkswagen, Jetta, Mk7 (MQB) GLi 2.0T,
Volkswagen, Passat, B6 1.8 TSI Saloon and Estate / Station Wagon,"112384, 27541, 326, 26607, 112383, 27545, 269"
Volkswagen, Passat, B6 2.0 TFSI Saloon and Estate / Station Wagon,
Volkswagen, Passat, B7 1.8 TSI Saloon and Estate / Station Wagon,"112384, 27541, 326, 26607, 112383, 27545, 269"
Volkswagen, Passat, B7 2.0 TFSI Saloon and Estate / Station Wagon,
Volkswagen, Polo, GTi 1.4 TSI 180PS 7spd DSG,33491
Volkswagen, Polo, GTI 1.8 TSI 192PS (3 & 5 door),108640
Volkswagen, Polo, GTi 1.8T,19253
Volkswagen, Polo, GTI 2.0 TSI (AW - 5 Door) - Non GPF/OPF Models Only,129081
Volkswagen, Polo, GTI 2.0 TSI (AW 5 Door) - GPF/OPF Models Only,129081
Volkswagen, Polo, R WRC,58385
Volkswagen, Scirocco, GT 2.0 TDI CR 170,31341
Volkswagen, Scirocco, GT 2.0 TSi 200PS,28234
Volkswagen, Scirocco, R,"107502, 32631, 11210"
Volkswagen, Transporter \ Caravelle, T5 LWB 1.9 TDi (85ps & 104ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 LWB 180PS 2.0-litre BiTDI 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 LWB 2.0-litre (140ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 LWB 2.0-litre (84ps & 102ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 LWB 2.5 TDi (130ps & 174ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 SWB 1.9 TDi (85ps & 104ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 SWB 180PS 2.0-litre BiTDI 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 SWB 2.0-litre (140ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 SWB 2.0-litre (84ps & 102ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T5 SWB 2.5 TDi (130ps & 174ps) 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T6 LWB 150/180/204PS 2.0-Litre BiTDI 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T6 LWB 150PS & 204PS 2.0-litre TSI (Petrol) 2WD,
Volkswagen, Transporter \ Caravelle, T6 SWB 150/180/204PS 2.0-Litre BiTDI 2WD and 4MOTION,
Volkswagen, Transporter \ Caravelle, T6 SWB 150PS & 204PS 2.0-litre TSI (Petrol) 2WD,
Volkswagen, Transporter \ Caravelle, T6.1 SWB 199PS 2.0TDI 2wd & 4MOTION,
Volkswagen, T-Roc, R 2.0TSI 300ps (with OPF/GPF),137768
Volkswagen, Up!, 1.0TSI 90PS (3 & 5 Door),120717
Volkswagen, Up!, GTI 1.0TSI 115PS (3 & 5 Door),129787
